Date,Sunset Quality
1/6/2020,0
2/6/2020,0
3/6/2020,0
4/6/2020,4
5/6/2020,2
6/6/2020,0
7/6/2020,0
8/6/2020,0
9/6/2020,2.5
10/6/2020,0
11/6/2020,4
12/6/2020,3.5
13/6/2020,3
14/6/2020,0
15/6/2020,0
16/6/2020,4
17/6/2020,0
18/6/2020,4
19/6/2020,0
20/6/2020,0
21/6/2020,3
22/6/2020,3
23/6/2020,0
24/6/2020,0
25/6/2020,0
26/6/2020,3
27/6/2020,0
28/6/2020,5
29/6/2020,5
30/6/2020,4
1/7/2020,3
2/7/2020,0
3/7/2020,0
4/7/2020,0
5/7/2020,3
6/7/2020,2
7/7/2020,0
8/7/2020,3
9/7/2020,0
10/7/2020,0
11/7/2020,0
12/7/2020,4
13/7/2020,2
14/7/2020,0
15/7/2020,5
16/7/2020,0
17/7/2020,4
18/7/2020,0
19/7/2020,2
20/7/2020,3
21/7/2020,3
22/7/2020,3
23/7/2020,5
24/7/2020,5
25/7/2020,5
26/7/2020,2
27/7/2020,4
28/7/2020,3
29/7/2020,4
30/7/2020,5
31/7/2020,0
